commit	score	score_std	mean_rank	p_top3	n_sims	status	description
a42634f	1823.5	115.3	6.4	0.273	300	discard	auto 40 screen: {"need_bonus": 89.782, "flex_bonus": 2.816, "depth_quota_rb": 2, "depth_quota_wr": 6, "depth_quota_te": 4, "surplus_penalty": 4.269, "bench_bonus": 3.958, "wait_discount": 0.226, "wait_margin": 4.391, "kdef_rounds_from_end": 1, "injury_penalty": 107.
a42634f	1882.7	117.6	5.02	0.386	2700	discard	auto 41 confirmed: {"need_bonus": 40.654, "flex_bonus": 11.034, "depth_quota_te": 4, "depth_quota_qb": 4, "surplus_penalty": 30.404, "bench_bonus": 7.99, "wait_discount": 0.33, "wait_margin": 4.38, "kdef_rounds_from_end": 3, "injury_penalty": 80.227, "rb_early_bonus": 
a42634f	1893.5	121.1	4.76	0.43	2700	discard	auto 42 confirmed: {"need_bonus": 40.277, "flex_bonus": 9.223, "depth_quota_wr": 4, "depth_quota_te": 4, "depth_quota_qb": 4, "surplus_penalty": 36.241, "bench_bonus": 8.12, "wait_discount": 0.325, "wait_margin": 3.668, "kdef_rounds_from_end": 3, "injury_penalty": 77.3
a42634f	1847.7	121.6	6.04	0.3	300	discard	auto 43 screen: {"need_bonus": 51.404, "flex_bonus": 10.341, "depth_quota_rb": 4, "depth_quota_te": 4, "depth_quota_qb": 4, "surplus_penalty": 26.925, "bench_bonus": 7.659, "wait_discount": 0.343, "wait_margin": 4.084, "kdef_rounds_from_end": 1, "injury_penalty": 64
a42634f	1867.5	113.4	5.22	0.327	300	discard	auto 44 screen: {"need_bonus": 59.358, "flex_bonus": 11.703, "depth_quota_rb": 2, "depth_quota_wr": 4, "depth_quota_te": 4, "depth_quota_qb": 2, "surplus_penalty": 7.726, "bench_bonus": 6.489, "wait_discount": 0.232, "wait_margin": 1.728, "kdef_rounds_from_end": 1, 
a42634f	1849.6	123.2	5.93	0.313	300	discard	auto 45 screen: {"need_bonus": 41.132, "flex_bonus": 11.892, "depth_quota_wr": 4, "depth_quota_te": 2, "surplus_penalty": 26.005, "bench_bonus": 7.456, "wait_discount": 0.284, "wait_margin": 5.093, "kdef_rounds_from_end": 1, "injury_penalty": 81.436, "rb_early_bonus
a42634f	1882.6	117.8	5.01	0.39	2700	discard	auto 46 confirmed: {"need_bonus": 35.974, "flex_bonus": 9.574, "depth_quota_qb": 2, "surplus_penalty": 29.518, "bench_bonus": 5.519, "wait_discount": 0.319, "wait_margin": 3.855, "injury_penalty": 83.145, "rb_early_bonus": 7.201, "te_earliest_round": 2, "avail_sigma": 
a42634f	1875.5	124.2	5.28	0.353	300	discard	auto 47 screen: {"need_bonus": 33.372, "flex_bonus": 10.998, "depth_quota_rb": 4, "depth_quota_wr": 6, "depth_quota_te": 4, "depth_quota_qb": 2, "surplus_penalty": 31.638, "bench_bonus": 9.882, "wait_discount": 0.059, "wait_margin": 5.715, "injury_penalty": 77.374, 
a42634f	1893.0	119.0	4.74	0.423	2700	discard	auto 48 confirmed: {"need_bonus": 46.821, "flex_bonus": 8.312, "surplus_penalty": 36.493, "bench_bonus": 8.097, "wait_discount": 0.387, "wait_margin": 3.908, "kdef_rounds_from_end": 3, "injury_penalty": 74.467, "rb_early_bonus": 6.847, "te_earliest_round": 4, "avail_si
a42634f	1878.1	120.5	5.15	0.373	2700	discard	auto 49 confirmed: {"need_bonus": 35.414, "flex_bonus": 11.871, "depth_quota_wr": 4, "surplus_penalty": 48.738, "bench_bonus": 4.988, "wait_discount": 0.235, "wait_margin": 5.287, "injury_penalty": 80.015, "rb_early_bonus": 8.41, "qb_earliest_round": 5, "te_earliest_ro
a42634f	1871.6	117.6	5.28	0.34	300	discard	auto 50 screen: {"need_bonus": 26.024, "flex_bonus": 6.047, "depth_quota_te": 2, "surplus_penalty": 20.578, "bench_bonus": -0.15, "wait_discount": 0.481, "wait_margin": 2.426, "injury_penalty": 63.604, "rb_early_bonus": 6.058, "avail_sigma": 13.868, "avail_strength"
a42634f	1820.1	112.1	6.47	0.203	300	discard	auto 51 screen: {"need_bonus": -24.649, "flex_bonus": 14.325, "depth_quota_wr": 6, "depth_quota_te": 4, "depth_quota_qb": 4, "surplus_penalty": 41.739, "bench_bonus": 15.558, "wait_discount": 0.261, "wait_margin": 2.79, "kdef_rounds_from_end": 1, "injury_penalty": 6
a42634f	1878.7	118.7	5.09	0.38	2700	discard	auto 52 confirmed: {"need_bonus": 67.171, "flex_bonus": 10.969, "depth_quota_rb": 4, "depth_quota_wr": 4, "depth_quota_qb": 4, "surplus_penalty": 40.593, "bench_bonus": 7.813, "wait_discount": 0.556, "wait_margin": 5.064, "injury_penalty": 76.501, "rb_early_bonus": 6.8
a42634f	1874.9	118.7	5.14	0.387	300	discard	auto 53 screen: {"need_bonus": 36.766, "flex_bonus": 9.503, "depth_quota_rb": 2, "depth_quota_te": 4, "surplus_penalty": 8.479, "bench_bonus": 6.398, "wait_discount": 0.334, "wait_margin": 3.981, "injury_penalty": 41.899, "rb_early_bonus": 7.046, "avail_sigma": 13.9
a42634f	1890.9	117.8	4.82	0.414	2700	discard	auto 54 confirmed: {"need_bonus": 56.665, "flex_bonus": 9.381, "depth_quota_wr": 4, "surplus_penalty": 32.348, "bench_bonus": 6.095, "wait_discount": 0.361, "wait_margin": 4.792, "injury_penalty": 74.889, "rb_early_bonus": 7.755, "avail_sigma": 6.5, "avail_strength": 0
a42634f	1837.7	121.0	6.05	0.303	300	discard	auto 55 screen: {"need_bonus": 71.107, "flex_bonus": 4.127, "depth_quota_rb": 2, "depth_quota_wr": 4, "depth_quota_te": 2, "surplus_penalty": 44.842, "bench_bonus": 8.592, "wait_discount": 0.512, "wait_margin": 2.881, "injury_penalty": 95.144, "rb_early_bonus": 7.97
a42634f	1884.2	114.0	4.77	0.43	300	discard	auto 56 screen: {"need_bonus": 41.932, "flex_bonus": 10.012, "depth_quota_qb": 2, "surplus_penalty": 26.806, "bench_bonus": 6.26, "wait_discount": 0.326, "wait_margin": 5.323, "injury_penalty": 89.752, "rb_early_bonus": 4.932, "avail_sigma": 6.36, "avail_strength": 
a42634f	1844.0	117.6	5.98	0.293	300	discard	auto 57 screen: {"need_bonus": 51.907, "flex_bonus": 10.316, "depth_quota_te": 2, "surplus_penalty": 20.513, "bench_bonus": 11.066, "wait_discount": 0.165, "wait_margin": 5.893, "kdef_rounds_from_end": 1, "injury_penalty": 110.894, "rb_early_bonus": 7.877, "te_earli
a42634f	1856.7	114.9	5.63	0.303	300	discard	auto 58 screen: {"need_bonus": 53.238, "flex_bonus": 10.817, "depth_quota_rb": 4, "depth_quota_wr": 6, "depth_quota_te": 4, "surplus_penalty": 36.542, "bench_bonus": 7.973, "wait_discount": 0.389, "wait_margin": 4.251, "kdef_rounds_from_end": 1, "injury_penalty": 96
a42634f	1844.8	117.2	5.94	0.303	300	discard	auto 59 screen: {"need_bonus": 4.77, "flex_bonus": 6.606, "surplus_penalty": 56.985, "bench_bonus": 12.828, "wait_discount": 0.244, "wait_margin": -0.303, "injury_penalty": -6.047, "rb_early_bonus": -3.998, "te_earliest_round": 2, "avail_sigma": -3.81, "avail_streng
a42634f	1882.9	127.8	5.14	0.39	300	discard	auto 60 screen: {"need_bonus": 64.443, "flex_bonus": 17.983, "depth_quota_qb": 4, "surplus_penalty": 11.621, "bench_bonus": 8.985, "wait_discount": 0.314, "wait_margin": 5.608, "injury_penalty": 43.195, "rb_early_bonus": 7.1, "avail_sigma": 12.623, "avail_strength":
a42634f	1857.9	113.2	5.63	0.303	300	discard	auto 61 screen: {"need_bonus": 47.449, "flex_bonus": 9.987, "depth_quota_rb": 2, "depth_quota_wr": 4, "depth_quota_te": 2, "surplus_penalty": 31.364, "bench_bonus": 7.952, "wait_discount": 0.34, "wait_margin": 3.615, "injury_penalty": 71.795, "rb_early_bonus": 7.216
a42634f	1881.8	116.5	4.96	0.39	300	discard	auto 62 screen: {"need_bonus": 55.515, "flex_bonus": 11.817, "depth_quota_te": 2, "depth_quota_qb": 4, "surplus_penalty": 20.906, "bench_bonus": 8.17, "wait_discount": 0.266, "wait_margin": 5.459, "injury_penalty": 65.729, "rb_early_bonus": 9.974, "qb_earliest_round
a42634f	1880.8	115.4	5.08	0.397	300	discard	auto 63 screen: {"need_bonus": 46.121, "flex_bonus": 11.629, "depth_quota_wr": 6, "surplus_penalty": 26.304, "bench_bonus": 7.425, "wait_discount": 0.278, "wait_margin": 3.314, "injury_penalty": 45.674, "rb_early_bonus": 7.337, "qb_earliest_round": 3, "avail_sigma":
